	t-SNE Component 1	t-SNE Component 2	Label
206	30.148052	6.7984724	Small
207	32.7604	6.3796806	Small
208	19.039919	7.834578	Small
209	42.069782	5.362867	Small
210	22.793768	7.0437713	Small
211	24.355629	9.072101	Small
212	15.363583	6.7555313	Small
213	12.414689	12.313322	Small
214	11.34857	10.282326	Small
215	20.936214	4.7198462	Small
216	19.902187	5.5900106	Small
217	38.91976	4.896384	Small
218	11.968185	4.836239	Small
219	15.199743	7.8698545	Small
220	23.457533	7.695688	Small
221	41.892143	6.807499	Small
222	7.620684	14.757527	Small
223	41.364998	6.1013026	Small
224	27.787489	4.9608126	Small
225	21.131157	5.7387724	Small
226	8.730841	18.27242	Small
227	20.753416	11.355391	Small
228	28.120491	9.253179	Small
229	8.072961	17.946033	Small
230	8.281099	17.986189	Small
231	18.47188	10.188596	Small
232	26.416834	8.612395	Small
233	16.910156	3.1063552	Small
234	36.641655	5.337789	Small
235	37.66188	4.073534	Small
236	8.723954	5.9080987	Small
237	27.183197	4.4295583	Small
238	9.129453	12.397872	Small
239	18.871704	9.778771	Small
240	14.136177	5.2101226	Small
241	7.8249993	17.837076	Small
242	9.79505	1.688177	Small
243	29.919926	5.7685003	Small
244	20.767136	7.297685	Small
245	17.631666	7.327853	Small
246	8.640477	1.6718005	Small
247	9.500148	15.139772	Small
248	14.646254	7.692792	Small
249	14.630324	13.419159	Small
250	22.230026	7.358094	Small
251	8.918184	13.379388	Small
252	11.635237	7.2843494	Small
253	14.328361	12.960194	Small
254	14.375944	3.5030892	Small
255	4.186925	-4.745264	Small
256	20.811836	8.707204	Small
257	30.10972	3.9845502	Small
258	15.927088	4.3057714	Small
259	39.41212	4.7465515	Small
260	36.681305	5.81693	Small
261	26.262758	7.833509	Small
262	13.139145	8.395011	Small
263	25.689714	7.8369403	Small
264	14.466851	13.095973	Small
265	16.997652	11.272742	Small
266	29.577438	3.9758432	Small
267	19.3464	5.9349127	Small
268	37.79314	4.373677	Small
269	16.085787	8.854218	Small
270	15.581856	8.595928	Small
271	19.975126	7.6699347	Small
272	17.077724	8.166606	Small
273	10.510167	5.131398	Small
274	29.332504	5.5431504	Small
275	24.384502	8.097595	Small
276	29.37391	8.2670355	Small
277	11.728851	6.0475383	Small
278	8.862753	13.179789	Small
279	21.880596	7.84407	Small
280	25.417852	6.419534	Small
281	12.343574	5.7614126	Small
282	11.189253	1.2136462	Small
283	7.740196	-0.96131104	Small
284	15.2143	10.227597	Small
285	29.78532	7.2529116	Small
286	10.965687	7.196775	Small
287	23.283306	9.166857	Small
288	20.536335	9.730086	Small
289	23.773657	5.859604	Small
290	21.861765	6.344589	Small
291	42.50789	4.919764	Small
292	11.24354	4.579323	Small
293	18.982735	3.5856035	Small
294	9.978589	9.379443	Small
295	34.33408	4.2054644	Small
296	16.821444	10.757827	Small
297	18.930817	3.8795667	Small
298	16.464405	1.9999907	Small
299	21.26854	5.094461	Small
300	6.2255535	-2.2568734	Small
301	19.218826	4.2486315	Small
302	23.708073	6.2635717	Small
303	21.893099	3.0720594	Small
304	22.59341	10.235818	Small
305	22.035082	7.932629	Small
306	18.490746	8.081868	Small
307	31.778603	5.3665533	Small
308	30.343414	6.0613327	Small
309	30.29419	4.520924	Small
310	20.976461	9.125709	Small
311	9.69229	-0.11697807	Small
312	16.679386	2.6248634	Small
313	24.950874	6.24941	Small
314	22.39564	8.312967	Small
315	16.98334	10.788056	Small
316	22.557833	6.397644	Small
317	18.314438	6.306562	Small
318	19.028498	6.6970525	Small
319	7.085588	-2.1107602	Small
320	19.915783	4.2149353	Small
321	28.765373	4.0936728	Small
322	18.2696	3.13175	Small
323	20.59114	5.100809	Small
324	4.397987	-5.424076	Small
325	12.883054	3.1113396	Small
326	10.006365	8.337497	Small
327	18.284246	11.263444	Small
328	13.910441	11.283574	Small
329	6.282823	-1.9461361	Small
330	2.5552213	-8.010524	Small
331	9.897786	7.770045	Small
332	12.175791	10.5804615	Small
333	16.268854	7.303357	Small
334	19.505966	9.6826315	Small
335	18.006054	9.190667	Small
336	15.750428	6.057411	Small
337	16.045677	8.011369	Small
338	9.86498	8.241697	Small
339	26.640738	7.563728	Small
340	12.90866	8.556525	Small
341	5.739728	-2.184554	Small
342	24.54614	9.018337	Small
343	16.65477	5.9718046	Small
344	8.766589	6.969678	Small
345	16.15152	3.8902113	Small
346	22.335375	8.882242	Small
347	20.830341	5.082168	Small
348	18.947947	9.143471	Small
349	6.879397	17.41961	Small
350	11.040132	11.018232	Small
351	28.377296	5.6060286	Small
352	37.883007	7.0809135	Small
353	12.427744	6.6914945	Small
354	18.086145	7.252056	Small
355	14.513807	7.5078664	Small
356	8.68969	12.648803	Small
357	38.390316	6.846531	Small
358	9.954724	13.418505	Small
359	14.007279	13.558205	Small
360	19.057411	11.986557	Small
361	9.987654	11.471925	Small
362	16.433632	9.115473	Small
363	13.348814	14.190808	Small
364	19.516382	5.723522	Small
365	19.658257	6.1103263	Small
366	24.138815	9.878609	Small
367	25.285727	8.028596	Small
368	16.14682	12.746805	Small
369	15.932109	10.739542	Small
370	8.386576	12.921068	Small
371	30.405197	8.087674	Small
372	10.8159	11.695733	Small
373	40.75349	6.380524	Small
374	21.077873	4.954149	Small
