	UMAP Component 1	UMAP Component 2	Label
185	-5.9894733	12.453712	Small
186	-2.6041143	2.7393527	Small
187	-0.9631943	4.3914585	Small
188	-6.673258	15.396264	Small
189	-6.197362	11.19928	Small
190	1.4789534	3.964373	Small
191	-5.41076	5.908345	Small
192	-4.048078	5.6800866	Small
193	-5.120558	5.7944593	Small
194	-7.772611	15.182727	Small
195	-6.2842326	10.447648	Small
196	-6.3131614	9.655944	Small
197	-5.360046	8.200824	Small
198	-4.6737475	-2.8000255	Small
199	-7.431052	16.298685	Small
200	-7.940515	16.555943	Small
201	-7.834445	18.625277	Small
202	-4.9228225	7.189109	Small
203	7.375195	2.988313	Small
204	-6.3237767	12.703234	Small
205	-6.6827216	14.817879	Small
206	-5.846041	11.5629425	Small
207	-6.391231	12.627935	Small
208	-3.4866	6.816078	Small
209	-6.8121805	17.019978	Small
210	-4.0424647	8.661809	Small
211	-5.4135075	8.495416	Small
212	-1.8191166	6.1431127	Small
213	-2.9142718	3.3355408	Small
214	-1.950416	3.7206914	Small
215	-2.7764313	8.815701	Small
216	-2.806042	8.133702	Small
217	-6.4664373	15.303675	Small
218	-0.09556274	5.7016673	Small
219	-2.1031806	5.629373	Small
220	-4.7073874	8.769533	Small
221	-7.8221974	16.704056	Small
222	-1.7536103	0.025903068	Small
223	-7.3210373	16.357716	Small
224	-4.9975524	11.132529	Small
225	-3.1582816	8.349935	Small
226	-4.528223	-2.3214138	Small
227	-5.6406593	6.4881825	Small
228	-6.6759844	10.01469	Small
229	-4.506144	-2.5845814	Small
230	-4.560561	-2.5509195	Small
231	-4.186654	5.9167094	Small
232	-5.95149	9.538112	Small
233	-0.8979799	8.013138	Small
234	-6.9198933	14.242792	Small
235	-6.154703	14.676433	Small
236	0.98127645	3.7554252	Small
237	-4.5512466	10.896212	Small
238	-1.4241679	1.9877719	Small
239	-3.9142275	6.5052414	Small
240	-0.97862387	6.09647	Small
241	-4.606322	-2.9440653	Small
242	2.0216484	6.0730953	Small
243	-5.65264	11.551295	Small
244	-3.760412	8.057578	Small
245	-2.8723757	6.5521703	Small
246	2.3125691	5.415507	Small
247	-3.1082153	1.0953101	Small
248	-1.7699708	5.522911	Small
249	-4.2995043	3.8865762	Small
250	-4.243492	8.320162	Small
251	-1.857498	1.3766634	Small
252	-0.9424142	4.7927012	Small
253	-4.250761	4.01542	Small
254	-0.2819896	7.001026	Small
255	6.958066	4.4324	Small
256	-4.4222608	7.4560633	Small
257	-5.6075974	12.211749	Small
258	-0.903495	7.100579	Small
259	-6.7240577	15.44244	Small
260	-6.998964	14.080166	Small
261	-5.830025	9.56119	Small
262	-1.8263156	4.7303867	Small
263	-5.4386	9.6305485	Small
264	-4.341473	3.912817	Small
265	-4.2151055	5.325709	Small
266	-5.4159455	11.896175	Small
267	-3.1787052	7.7032733	Small
268	-6.2022557	14.5820055	Small
269	-2.939108	5.6639977	Small
270	-2.775625	5.573432	Small
271	-3.7092135	7.3646903	Small
272	-3.1805243	6.14823	Small
273	0.18978737	5.283935	Small
274	-5.4141474	11.426419	Small
275	-5.1366963	8.680488	Small
276	-6.546996	10.558144	Small
277	-0.37790248	5.318188	Small
278	-1.4249287	1.4187856	Small
279	-4.3923273	8.220954	Small
280	-4.56558	9.778945	Small
281	-0.5375149	5.5511837	Small
282	1.5114928	6.736734	Small
283	3.9237833	5.70447	Small
284	-3.3012094	4.874027	Small
285	-6.0665975	11.190096	Small
286	-0.58757216	4.4797745	Small
287	-5.10792	8.132125	Small
288	-4.72442	7.039894	Small
289	-3.9707572	9.208118	Small
290	-3.5809367	8.69781	Small
291	-6.7667184	17.210985	Small
292	0.21056284	5.694546	Small
293	-1.8654405	8.690192	Small
294	-0.99163216	3.4441757	Small
295	-5.8074455	13.383788	Small
296	-3.8168702	5.308081	Small
297	-1.9139147	8.553138	Small
298	-0.6276612	8.227633	Small
299	-2.9637585	8.721344	Small
300	4.9963117	5.3271003	Small
301	-1.9047002	8.52687	Small
302	-4.153685	8.993313	Small
303	-2.384367	9.658872	Small
304	-5.5136137	7.6930385	Small
305	-4.3546634	8.212231	Small
306	-3.377806	6.800416	Small
307	-5.6999583	12.553418	Small
308	-5.5782084	11.63639	Small
309	-5.143073	11.996036	Small
310	-4.6512265	7.5260844	Small
311	2.3504603	6.7346888	Small
312	-1.0427002	8.152924	Small
